SL,Age,gender,PS/SD,Crime_Location,Crime_date,Crime_time,Allegation
35,35,female,kala paharia,araihazar,6/9/2024,4:30:00 AM,robbery
36,30,female,kala paharia,araihazar,6/9/2024,4:30:00 AM,robbery
37,23,male,kala paharia,araihazar,6/9/2024,4:30:00 AM,robbery
38,26,female,kala paharia,araihazar,6/9/2024,4:30:00 AM,robbery
39,23,female,kala paharia,araihazar,6/9/2024,4:30:00 AM,robbery
40,27,female,kala paharia,araihazar,6/9/2024,4:30:00 AM,robbery
41,35,male,daily time building,narayangonj sadar,12/2/2022,12:25:00 PM,Unlawful Assembly Membership
42,45,male,daily time building,narayangonj sadar,12/2/2022,12:25:00 PM,Unlawful Assembly Membership
43,29,male,daily time building,narayangonj sadar,12/2/2022,12:25:00 PM,Unlawful Assembly Membership
44,25,male,daily time building,narayangonj sadar,12/2/2022,12:25:00 PM,Unlawful Assembly Membership
45,28,male,daily time building,narayangonj sadar,12/2/2022,12:25:00 PM,Unlawful Assembly Membership
46,26,male,daily time building,narayangonj sadar,12/2/2022,12:25:00 PM,Unlawful Assembly Membership
47,26,male,daily time building,narayangonj sadar,12/2/2022,12:25:00 PM,Unlawful Assembly Membership
48,29,male,daily time building,narayangonj sadar,12/2/2022,12:25:00 PM,Unlawful Assembly Membership
49,31,male,daily time building,narayangonj sadar,12/2/2022,12:25:00 PM,Unlawful Assembly Membership
50,30,male,daily time building,narayangonj sadar,12/2/2022,12:25:00 PM,Unlawful Assembly Membership
51,31,male,daily time building,narayangonj sadar,12/2/2022,12:25:00 PM,Unlawful Assembly Membership
52,32,male,daily time building,narayangonj sadar,12/2/2022,12:25:00 PM,Unlawful Assembly Membership
53,27,male,daily time building,narayangonj sadar,12/2/2022,12:25:00 PM,Unlawful Assembly Membership
54,29,male,daily time building,narayangonj sadar,12/2/2022,12:25:00 PM,Unlawful Assembly Membership
55,32,male,daily time building,narayangonj sadar,12/2/2022,12:25:00 PM,Unlawful Assembly Membership
56,27,male,daily time building,narayangonj sadar,12/2/2022,12:25:00 PM,Unlawful Assembly Membership
57,31,male,daily time building,narayangonj sadar,12/2/2022,12:25:00 PM,Unlawful Assembly Membership
58,35,male,daily time building,narayangonj sadar,12/2/2022,12:25:00 PM,Unlawful Assembly Membership
59,31,male,daily time building,narayangonj sadar,12/2/2022,12:25:00 PM,Unlawful Assembly Membership
60,35,male,daily time building,narayangonj sadar,12/2/2022,12:25:00 PM,Collective Criminal Liability
61,45,male,daily time building,narayangonj sadar,12/2/2022,12:25:00 PM,Collective Criminal Liability
62,29,male,daily time building,narayangonj sadar,12/2/2022,12:25:00 PM,Collective Criminal Liability
63,25,male,daily time building,narayangonj sadar,12/2/2022,12:25:00 PM,Collective Criminal Liability
64,28,male,daily time building,narayangonj sadar,12/2/2022,12:25:00 PM,Collective Criminal Liability
65,26,male,daily time building,narayangonj sadar,12/2/2022,12:25:00 PM,Collective Criminal Liability
66,26,male,daily time building,narayangonj sadar,12/2/2022,12:25:00 PM,Collective Criminal Liability
67,29,male,daily time building,narayangonj sadar,12/2/2022,12:25:00 PM,Collective Criminal Liability
68,31,male,daily time building,narayangonj sadar,12/2/2022,12:25:00 PM,Collective Criminal Liability
69,30,male,daily time building,narayangonj sadar,12/2/2022,12:25:00 PM,Collective Criminal Liability
70,31,male,daily time building,narayangonj sadar,12/2/2022,12:25:00 PM,Collective Criminal Liability
71,32,male,daily time building,narayangonj sadar,12/2/2022,12:25:00 PM,Collective Criminal Liability
72,27,male,daily time building,narayangonj sadar,12/2/2022,12:25:00 PM,Collective Criminal Liability
73,29,male,daily time building,narayangonj sadar,12/2/2022,12:25:00 PM,Collective Criminal Liability
74,32,male,daily time building,narayangonj sadar,12/2/2022,12:25:00 PM,Collective Criminal Liability
75,27,male,daily time building,narayangonj sadar,12/2/2022,12:25:00 PM,Collective Criminal Liability
76,31,male,daily time building,narayangonj sadar,12/2/2022,12:25:00 PM,Collective Criminal Liability
77,35,male,daily time building,narayangonj sadar,12/2/2022,12:25:00 PM,Collective Criminal Liability
78,31,male,daily time building,narayangonj sadar,12/2/2022,12:25:00 PM,Collective Criminal Liability
79,35,male,daily time building,narayangonj sadar,12/2/2022,12:25:00 PM,theft
80,45,male,daily time building,narayangonj sadar,12/2/2022,12:25:00 PM,theft
81,29,male,daily time building,narayangonj sadar,12/2/2022,12:25:00 PM,theft
82,25,male,daily time building,narayangonj sadar,12/2/2022,12:25:00 PM,theft
83,28,male,daily time building,narayangonj sadar,12/2/2022,12:25:00 PM,theft
84,26,male,daily time building,narayangonj sadar,12/2/2022,12:25:00 PM,theft
85,26,male,daily time building,narayangonj sadar,12/2/2022,12:25:00 PM,theft
86,29,male,daily time building,narayangonj sadar,12/2/2022,12:25:00 PM,theft
87,31,male,daily time building,narayangonj sadar,12/2/2022,12:25:00 PM,theft
88,30,male,daily time building,narayangonj sadar,12/2/2022,12:25:00 PM,theft
89,31,male,daily time building,narayangonj sadar,12/2/2022,12:25:00 PM,theft
90,32,male,daily time building,narayangonj sadar,12/2/2022,12:25:00 PM,theft
91,27,male,daily time building,narayangonj sadar,12/2/2022,12:25:00 PM,theft
92,29,male,daily time building,narayangonj sadar,12/2/2022,12:25:00 PM,theft
93,32,male,daily time building,narayangonj sadar,12/2/2022,12:25:00 PM,theft
94,27,male,daily time building,narayangonj sadar,12/2/2022,12:25:00 PM,theft
95,31,male,daily time building,narayangonj sadar,12/2/2022,12:25:00 PM,theft
96,35,male,daily time building,narayangonj sadar,12/2/2022,12:25:00 PM,theft
97,31,male,daily time building,narayangonj sadar,12/2/2022,12:25:00 PM,theft
98,35,male,nahati,rupgonj,11/19/2022,2:15:00 AM,robbery 
99,22,male,nahati,rupgonj,11/19/2022,2:15:00 AM,robbery 
100,29,male,nahati,rupgonj,11/19/2022,2:15:00 AM,robbery 
101,30,male,nahati,rupgonj,11/19/2022,2:15:00 AM,robbery 
102,32,male,nahati,rupgonj,11/19/2022,2:15:00 AM,robbery 
103,19,male,nahati,rupgonj,11/19/2022,2:15:00 AM,robbery 
104,25,male,nahati,rupgonj,11/19/2022,2:15:00 AM,robbery 
105,22,male,nahati,rupgonj,11/19/2022,2:15:00 AM,robbery 
106,19,male,nahati,rupgonj,11/19/2022,2:15:00 AM,robbery 
107,41,male,kala paharia,rupgonj,8/30/2024,6:00:00 AM,half murder
108,39,male,kala paharia,rupgonj,8/30/2024,6:00:00 AM,half murder
109,43,male,kala paharia,rupgonj,8/30/2024,6:00:00 AM,half murder
110,45,male,kala paharia,rupgonj,8/30/2024,6:00:00 AM,half murder
111,20,male,kala paharia,rupgonj,8/30/2024,6:00:00 AM,half murder
112,26,male,kala paharia,rupgonj,8/30/2024,6:00:00 AM,half murder
113,65,male,kala paharia,rupgonj,8/30/2024,6:00:00 AM,half murder
114,38,male,kala paharia,rupgonj,8/30/2024,6:00:00 AM,half murder
115,20,male,kala paharia,rupgonj,8/30/2024,6:00:00 AM,half murder
116,25,male,kala paharia,rupgonj,8/30/2024,6:00:00 AM,half murder
117,35,female,kala paharia,rupgonj,8/30/2024,6:00:00 AM,half murder
118,40,female,kala paharia,rupgonj,8/30/2024,6:00:00 AM,half murder
119,25,female,kala paharia,rupgonj,8/30/2024,6:00:00 AM,half murder
120,60,male,kala paharia,rupgonj,8/30/2024,6:00:00 AM,half murder
121,41,male,kala paharia,rupgonj,8/30/2024,6:00:00 AM,terror
122,39,male,kala paharia,rupgonj,8/30/2024,6:00:00 AM,terror
123,43,male,kala paharia,rupgonj,8/30/2024,6:00:00 AM,terror
124,45,male,kala paharia,rupgonj,8/30/2024,6:00:00 AM,terror
125,20,male,kala paharia,rupgonj,8/30/2024,6:00:00 AM,terror
126,26,male,kala paharia,rupgonj,8/30/2024,6:00:00 AM,terror
127,65,male,kala paharia,rupgonj,8/30/2024,6:00:00 AM,terror
128,38,male,kala paharia,rupgonj,8/30/2024,6:00:00 AM,terror
129,20,male,kala paharia,rupgonj,8/30/2024,6:00:00 AM,terror
130,25,male,kala paharia,rupgonj,8/30/2024,6:00:00 AM,terror
131,35,female,kala paharia,rupgonj,8/30/2024,6:00:00 AM,terror
132,40,female,kala paharia,rupgonj,8/30/2024,6:00:00 AM,terror
133,25,female,kala paharia,rupgonj,8/30/2024,6:00:00 AM,terror
134,60,male,kala paharia,rupgonj,8/30/2024,6:00:00 AM,terror
135,41,male,kala paharia,rupgonj,8/30/2024,6:00:00 AM,theft
136,39,male,kala paharia,rupgonj,8/30/2024,6:00:00 AM,theft
137,43,male,kala paharia,rupgonj,8/30/2024,6:00:00 AM,theft
138,45,male,kala paharia,rupgonj,8/30/2024,6:00:00 AM,theft
139,20,male,kala paharia,rupgonj,8/30/2024,6:00:00 AM,theft
140,26,male,kala paharia,rupgonj,8/30/2024,6:00:00 AM,theft
141,65,male,kala paharia,rupgonj,8/30/2024,6:00:00 AM,theft
142,38,male,kala paharia,rupgonj,8/30/2024,6:00:00 AM,theft
143,20,male,kala paharia,rupgonj,8/30/2024,6:00:00 AM,theft
144,25,male,kala paharia,rupgonj,8/30/2024,6:00:00 AM,theft
145,35,female,kala paharia,rupgonj,8/30/2024,6:00:00 AM,theft
146,40,female,kala paharia,rupgonj,8/30/2024,6:00:00 AM,theft
147,25,female,kala paharia,rupgonj,8/30/2024,6:00:00 AM,theft
148,60,male,kala paharia,rupgonj,8/30/2024,6:00:00 AM,theft
149,41,male,kala paharia,rupgonj,8/30/2024,6:00:00 AM,life threat
150,39,male,kala paharia,rupgonj,8/30/2024,6:00:00 AM,life threat
151,43,male,kala paharia,rupgonj,8/30/2024,6:00:00 AM,life threat
152,45,male,kala paharia,rupgonj,8/30/2024,6:00:00 AM,life threat
153,20,male,kala paharia,rupgonj,8/30/2024,6:00:00 AM,life threat
154,26,male,kala paharia,rupgonj,8/30/2024,6:00:00 AM,life threat
155,65,male,kala paharia,rupgonj,8/30/2024,6:00:00 AM,life threat
156,38,male,kala paharia,rupgonj,8/30/2024,6:00:00 AM,life threat
157,20,male,kala paharia,rupgonj,8/30/2024,6:00:00 AM,life threat
158,25,male,kala paharia,rupgonj,8/30/2024,6:00:00 AM,life threat
159,35,female,kala paharia,rupgonj,8/30/2024,6:00:00 AM,life threat
160,40,female,kala paharia,rupgonj,8/30/2024,6:00:00 AM,life threat
161,25,female,kala paharia,rupgonj,8/30/2024,6:00:00 AM,life threat
162,60,male,kala paharia,rupgonj,8/30/2024,6:00:00 AM,life threat
163,35,male,kasipur,fatullah,10/2/2022,11:00:00 AM,life threat
164,42,male,kasipur,fatullah,10/2/2022,11:00:00 AM,life threat
165,50,male,kasipur,fatullah,10/2/2022,11:00:00 AM,life threat
166,55,male,kasipur,fatullah,10/2/2022,11:00:00 AM,life threat
167,32,male,kasipur,fatullah,10/2/2022,11:00:00 AM,life threat
168,50,male,kasipur,fatullah,10/2/2022,11:00:00 AM,life threat
169,34,male,kasipur,fatullah,10/2/2022,11:00:00 AM,life threat
170,33,male,kasipur,fatullah,10/2/2022,11:00:00 AM,life threat
171,33,male,kasipur,fatullah,10/2/2022,11:00:00 AM,life threat
172,35,male,kasipur,fatullah,10/2/2022,11:00:00 AM,robbery 
173,42,male,kasipur,fatullah,10/2/2022,11:00:00 AM,robbery 
174,50,male,kasipur,fatullah,10/2/2022,11:00:00 AM,robbery 
175,55,male,kasipur,fatullah,10/2/2022,11:00:00 AM,robbery 
176,32,male,kasipur,fatullah,10/2/2022,11:00:00 AM,robbery 
177,50,male,kasipur,fatullah,10/2/2022,11:00:00 AM,robbery 
178,34,male,kasipur,fatullah,10/2/2022,11:00:00 AM,robbery 
179,33,male,kasipur,fatullah,10/2/2022,11:00:00 AM,robbery 
180,33,male,kasipur,fatullah,10/2/2022,11:00:00 AM,robbery 
181,35,male,kasipur,fatullah,10/2/2022,11:00:00 AM,extortion 
182,42,male,kasipur,fatullah,10/2/2022,11:00:00 AM,extortion 
183,50,male,kasipur,fatullah,10/2/2022,11:00:00 AM,extortion 
184,55,male,kasipur,fatullah,10/2/2022,11:00:00 AM,extortion 
185,32,male,kasipur,fatullah,10/2/2022,11:00:00 AM,extortion 
186,50,male,kasipur,fatullah,10/2/2022,11:00:00 AM,extortion 
187,34,male,kasipur,fatullah,10/2/2022,11:00:00 AM,extortion 
188,33,male,kasipur,fatullah,10/2/2022,11:00:00 AM,extortion 
189,33,male,kasipur,fatullah,10/2/2022,11:00:00 AM,extortion 
190,77,female,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
191,73,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
192,72,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
193,52,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
194,63,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
195,33,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
196,50,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
197,54,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
198,72,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
199,52,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
200,45,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
201,47,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
202,44,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
203,55,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
204,58,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
205,48,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
206,46,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
207,65,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
208,50,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
209,45,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
210,48,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
211,55,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
212,60,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
213,55,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
214,50,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
215,48,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
216,55,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
217,45,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
218,55,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
219,55,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
220,52,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
221,48,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
222,38,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
223,32,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
224,55,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
225,45,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
226,45,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
227,40,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
228,52,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
229,48,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
230,46,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
231,45,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
232,40,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
233,35,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
234,37,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
235,55,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
236,55,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
237,42,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
238,42,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
239,45,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
240,54,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
241,42,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
242,42,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
243,38,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
244,36,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
245,38,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
246,48,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
247,32,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
248,52,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
249,32,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
250,42,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
251,45,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
252,40,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
253,52,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
254,42,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
255,38,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
256,50,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
257,45,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
258,38,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
259,50,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
260,55,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
261,42,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
262,65,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
263,45,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
264,35,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
265,50,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
266,48,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
267,42,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
268,55,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
269,46,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
270,45,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
271,32,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
272,52,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
273,48,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
274,50,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
275,35,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
276,40,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
277,35,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
278,35,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
279,35,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
280,60,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
281,40,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
282,42,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
283,35,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
284,44,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
285,38,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
286,42,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
287,48,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
288,60,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
289,45,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
290,50,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
291,26,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
292,50,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
293,40,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
294,65,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
295,38,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
296,42,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
297,38,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
298,35,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
299,48,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
300,45,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
301,35,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
302,42,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
303,50,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
304,55,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
305,55,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
306,48,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
307,40,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
308,39,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
309,50,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
310,45,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
311,46,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
312,47,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
313,45,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
314,42,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
315,60,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
316,50,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
317,40,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
318,46,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
319,48,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
320,28,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
321,45,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
322,50,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
323,42,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
324,38,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
325,40,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
326,35,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
327,32,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
328,48,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
329,47,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
330,55,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
331,55,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
332,45,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
333,50,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
334,50,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
335,40,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
336,38,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
337,50,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
338,42,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
339,60,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
340,45,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
341,44,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
342,50,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
343,47,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
344,55,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
345,42,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,arms supply
346,77,female,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
347,73,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
348,72,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
349,52,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
350,63,male,sonargaon,sonargaon ,8/23/2024,8:10:00 AM,explosive supply 
